"Date","Source","Site ID","POC","Daily Mean PM10 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"11/16/2024","AQS","040134010","1","38","ug/m3 SC","35","DYSART","1","100.0000","81102","PM10 Total 0-10um STP","079","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.6371800008706","-112.34185"
"11/17/2024","AQS","040134010","1","21","ug/m3 SC","19","DYSART","1","100.0000","81102","PM10 Total 0-10um STP","079","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.6371800008706","-112.34185"
"11/18/2024","AQS","040134010","1","38","ug/m3 SC","35","DYSART","1","100.0000","81102","PM10 Total 0-10um STP","079","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.6371800008706","-112.34185"
"11/19/2024","AQS","040134010","1","54","ug/m3 SC","50","DYSART","1","100.0000","81102","PM10 Total 0-10um STP","079","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.6371800008706","-112.34185"
"11/20/2024","AQS","040134010","1","67","ug/m3 SC","57","DYSART","1","100.0000","81102","PM10 Total 0-10um STP","079","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.6371800008706","-112.34185"
"11/21/2024","AQS","040134010","1","59","ug/m3 SC","53","DYSART","1","100.0000","81102","PM10 Total 0-10um STP","079","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.6371800008706","-112.34185"
"11/22/2024","AQS","040134010","1","80","ug/m3 SC","63","DYSART","1","100.0000","81102","PM10 Total 0-10um STP","079","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.6371800008706","-112.34185"
"11/23/2024","AQS","040134010","1","48","ug/m3 SC","44","DYSART","1","100.0000","81102","PM10 Total 0-10um STP","079","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.6371800008706","-112.34185"
"11/24/2024","AQS","040134010","1","44","ug/m3 SC","41","DYSART","1","100.0000","81102","PM10 Total 0-10um STP","079","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.6371800008706","-112.34185"
"11/25/2024","AQS","040134010","1","46","ug/m3 SC","43","DYSART","1","100.0000","81102","PM10 Total 0-10um STP","079","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.6371800008706","-112.34185"
"11/26/2024","AQS","040134010","1","66","ug/m3 SC","56","DYSART","1","100.0000","81102","PM10 Total 0-10um STP","079","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.6371800008706","-112.34185"
"11/27/2024","AQS","040134010","1","48","ug/m3 SC","44","DYSART","1","100.0000","81102","PM10 Total 0-10um STP","079","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.6371800008706","-112.34185"
"11/28/2024","AQS","040134010","1","23","ug/m3 SC","21","DYSART","1","100.0000","81102","PM10 Total 0-10um STP","079","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.6371800008706","-112.34185"
"11/29/2024","AQS","040134010","1","32","ug/m3 SC","30","DYSART","1","100.0000","81102","PM10 Total 0-10um STP","079","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.6371800008706","-112.34185"
"11/30/2024","AQS","040134010","1","31","ug/m3 SC","29","DYSART","1","100.0000","81102","PM10 Total 0-10um STP","079","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.6371800008706","-112.34185"
"12/01/2024","AQS","040134010","1","36","ug/m3 SC","33","DYSART","1","100.0000","81102","PM10 Total 0-10um STP","079","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.6371800008706","-112.34185"
"12/02/2024","AQS","040134010","1","68","ug/m3 SC","57","DYSART","1","100.0000","81102","PM10 Total 0-10um STP","079","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.6371800008706","-112.34185"
"12/03/2024","AQS","040134010","1","79","ug/m3 SC","63","DYSART","1","100.0000","81102","PM10 Total 0-10um STP","079","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.6371800008706","-112.34185"
"12/04/2024","AQS","040134010","1","79","ug/m3 SC","63","DYSART","1","100.0000","81102","PM10 Total 0-10um STP","079","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.6371800008706","-112.34185"
"12/05/2024","AQS","040134010","1","73","ug/m3 SC","60","DYSART","1","100.0000","81102","PM10 Total 0-10um STP","079","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.6371800008706","-112.34185"
